GeneID,bT2,bT3
Smp_047020,8.06034582298964,10.7031294227807
Smp_047060,77.7719255104293,51.5413390555162
Smp_047090,68.9144511179768,66.9024470245731
Smp_047100,58.0924581660332,42.2494542874399
Smp_047110,108.227903619506,116.138306947536
Smp_047180,48.9162172637534,53.7341158986357
Smp_047190,15.0201327514194,19.1473586533884
Smp_047200,884.828406136409,856.510193160769
Smp_047240,6.19712118848091,3.36835862193613
Smp_047320,207.949232568575,125.243499113284
Smp_047330,55.4942388147013,51.2297410216917
Smp_047360,229.270074369192,242.973784316139
Smp_047370,520.008532631469,520.084999581805
Smp_047400,201.29922586043,157.41270760321
Smp_047410,33.1709543967002,26.9198500560618
Smp_047420,13.0605994940028,13.4258811895525
Smp_047440,60.2452162934148,46.2595687559325
Smp_047450,53.8093417595253,49.5197505356173
Smp_047460,1.66658691459931,1.62352684035739
Smp_047500,48.4010451836574,43.8228507309287
Smp_047540,7.61176953268901,7.32653061119367
Smp_047550,251.002856112685,169.996227215533
Smp_047570,38.0584671035104,38.5947003525965
Smp_047610,63.0052994108838,59.6431861027564
Smp_047620,144.227368096515,146.559824865864
Smp_047640,25.548859498685,19.6073089140194
Smp_047650,285.568498040475,247.725883311314
Smp_047660,300.644953736949,191.935475683447
Smp_047680,100.606250871072,67.4901788025431
Smp_047700,165.03626935239,183.510780142384
Smp_047720,9.26461237112927,13.6518809134754
Smp_047740,354.569498763174,305.26506067024
Smp_047860,46.6393721514184,47.185611780032
Smp_047870,43.7330988544611,42.4345529232378
Smp_047900,7.78147541077872,15.2574734669245
Smp_048030,2.75848868623335,7.73356008959332
Smp_048040,0.466449981928671,1.5256683169946
Smp_048050,0.528186008948642,0.742437523243362
Smp_048080,11.3255310634654,11.1542338348884
Smp_048160,42.086006746758,63.0128205952127
Smp_048230,66.2939136007778,78.7813440756552
Smp_048240,26.6406546496989,30.2149573853283
Smp_048260,180.411136493876,118.787838388939
Smp_048270,51.6038797785265,23.8016586084022
Smp_048310,26.7228178926707,19.6712940058728
Smp_048380,0.495214397480939,1.81230903109662
Smp_048420,36.2544227333525,38.7459172165483
Smp_048430,185.252284559134,185.912953569799
Smp_048520,34.7236130778055,25.3113352660369
Smp_048540,22.4255413400878,17.1300442665297
Smp_048550,46.8484074889638,44.4839489450988
Smp_048560,344.57715034288,323.429920902949
Smp_048620,34.2356498388876,35.219077516385
Smp_048650,281.515703530063,187.612272937467
Smp_048660,133.49419255171,97.2016477897917
Smp_048680,13.1926459962399,29.2834492340795
Smp_048690,804.124244508656,653.601450734728
Smp_048760,71.9350440969261,51.4428795795697
Smp_048830,1080.36935314404,957.614553562867
Smp_048870,57.3145964436248,35.0702549147322
Smp_048880,86.1573677490249,62.6428556400787
Smp_048930,24.1382177233673,18.2335969592038
Smp_048940,112.839320737045,82.0266826683295
Smp_048970,66.8802308834846,57.298366037637
Smp_048980,19.1224615460843,23.2974385389551
Smp_048990,27.1271289995386,22.9009959384027
Smp_049000,68.4044220633247,63.5995841213634
Smp_049010,22.8903160547065,34.3374143635435
Smp_049140,30.4521916703117,32.3320220636467
Smp_049150,125.792713660988,118.17951132582
Smp_049160,13.03308418608,13.4068687753877
Smp_049170,86.7842466377816,84.0066554639898
Smp_049230,0.830525040497996,0.237075309300429
Smp_049240,74.398772117623,40.9618826926429
Smp_049250,194.822233571548,138.641640878891
Smp_049270,17.8746025126256,20.3884765998369
Smp_049280,9.08781475030654,11.9222718683916
Smp_049300,2.06026358215255,0.727476160369769
Smp_049330,37.7910864988506,43.0543256593852
Smp_049380,25.5313118607319,35.1913060904734
Smp_049390,34.793603429087,27.5309365551938
Smp_049450,20.4501492077149,30.3527696749452
Smp_049500,47.3114005787339,48.3487606325843
Smp_049510,61.7605132357968,74.519150788834
Smp_049520,164.830207530771,147.06887787349
Smp_049550,1149.08874966506,1111.0306062093
Smp_049580,1.74084933670063,2.19730732267673
Smp_049600,90.2743541514376,80.1863015350192
Smp_049610,71.5394337284002,45.2352334161715
Smp_049630,94.4565081150019,111.601268817902
Smp_049680,218.371649973522,182.923119373637
Smp_049730,85.8877382332488,103.651021810282
Smp_049740,46.5313114589203,79.4103150722442
Smp_049760,30.0845307166594,35.2599689212716
Smp_049850,4.82788203220825,5.30609194933368
Smp_049880,84.2789497463148,73.9650789077577
Smp_049890,17.2062392210317,14.3177504212338
Smp_049910,129.547372129479,146.506778900564
Smp_049920,15.8762746222589,14.022454370352
Smp_049930,32.9396001944335,37.8380736897875
Smp_049970,110.278374157169,89.846692308788
Smp_049990,55.6871310925543,51.2624554510186
Smp_050080,160.118760002389,163.649099788072
Smp_050110,78.6789229642613,69.6976790931082
Smp_050130,147.306188100364,142.19975218765
Smp_050160,19.1376029462015,14.9780854847681
Smp_050220,2.11630084393564,0.503419175304616
Smp_050250,65.1698858444755,59.8453126095933
Smp_050270,0.0470289076430141,1.06277381453197
Smp_050280,1249.37110749084,896.87195709635
Smp_050310,18.3664680384414,42.1119129770441
Smp_050350,77.9449880058756,74.1768792535378
Smp_050360,217.967591459288,185.535137058516
Smp_050380,4.57249603838294,4.90302513618288
Smp_050390,1108.61129282224,912.204754539317
Smp_050430,21.3894987475935,25.0454087045616
Smp_050470,26.8851603366131,26.8506362059106
Smp_050520,29.0566010524992,15.1265001308361
Smp_050540,23.8926619615123,21.7717655726872
Smp_050570,195.187346966985,163.304802910771
Smp_050590,202.635201149453,207.22459264139
Smp_050630,51.1776751911739,51.9315182959615
Smp_050640,15.864369494074,21.6970537729114
Smp_050700,88.9036685578117,73.6371817238936
Smp_050730,24.7627311420084,25.1321524296476
Smp_050740,47.9648505031293,45.549615073147
Smp_050750,10.9827768472296,1.41218885539996
Smp_050760,161.640616574215,95.2769194953918
Smp_050820,81.7199521412464,88.8056736815989
Smp_050830,39.2065814032493,40.7253694511607
Smp_050880,79.084734359391,70.7134075937085
Smp_050890,28.7018310683195,34.7074276710012
Smp_050920,190.931629797998,154.944134160143
Smp_050940,1192.68167893093,1018.59777753292
Smp_051000,14.9476823106268,15.2289085883024
Smp_051010,172.322580823833,114.55104615961
Smp_051060,20.8120122018256,7.9564786731071
Smp_051070,9.27630445233043,12.7961150208182
Smp_051080,151.922316981484,105.710869195363
Smp_051090,40.9504213301545,44.2458259545072
Smp_051110,105.936489006576,84.5658404425055
Smp_051120,22.2383180573561,18.8578101884378
